"","beatmapset_id","beatmap_id","approved","total_length","hit_length","version","file_md5","diff_size","diff_overall","diff_approach","diff_drain","mode","approved_date","last_update","artist","title","creator","bpm","source","tags","genre_id","language_id","favourite_count","playcount","passcount","max_combo","difficultyrating","playcount_per_day"
"291",721804,1531842,1,205,203,"Akitoshi vs. SnowNiNo's Insane","2f8868012beb6b7d022a22319631e29d",4,7.5,9,5,0,"2018-04-08 20:02:52","2018-03-31 15:23:32","Omoi","Teo","Kroytz",185,"","vocaloid hatsune miku synth rock first waltz happyrocket88 dailycare morinaga snownino_ akitoshi kawashiro suzuki_1112 1112deng yales",4,3,458,59184,11268,1303,4.54042911529541,8454.85714285714
"298",737128,1556336,1,103,73,"Sotarks' Detonation","10a2aa425fc1080e31e7ad152541ca2b",4,9,9.3,6,0,"2018-04-08 20:20:36","2018-03-31 09:42:42","ONE OK ROCK","Bombs away","A r M i N",160,"","fueled by ramen oor ambitions short ver a-sketch kalibe sotarks waku jenhideo lukas [_l_u_k_a_s_] armin a_r_m_i_n tick tock hokichi",4,2,134,118548,25146,346,5.43303489685059,16935.4285714286
"398",757410,1593361,1,103,77,"Depression","78f28c0528a9cff8ffbd8618bd66f2a4",4,8,8.5,6,0,"2018-04-11 06:21:10","2018-04-02 23:21:51","XXXTENTACION","SAD!","Chromoxx",75,"","",9,2,248,98784,19089,319,4.29089498519897,24696
"399",757410,1593847,1,103,72,"Insane","e61b4515f24c7457cb01cbe7a80b3ab8",3.5,7,8,5.5,0,"2018-04-11 06:21:10","2018-04-02 23:21:51","XXXTENTACION","SAD!","Chromoxx",75,"","",9,2,248,78687,11439,291,3.49098205566406,19671.75
"400",757410,1594554,1,103,72,"Hard","efcbceac2646d102b5710ef2ad41fd36",3,6,7,5,0,"2018-04-11 06:21:10","2018-04-02 23:21:51","XXXTENTACION","SAD!","Chromoxx",75,"","",9,2,248,43830,11781,264,2.59488582611084,10957.5
"401",757410,1594969,1,103,72,"Normal","fd7103b7ff74d71d1212a71c235c97ef",2.5,4,4.5,4,0,"2018-04-11 06:21:10","2018-04-02 23:21:51","XXXTENTACION","SAD!","Chromoxx",75,"","",9,2,248,31833,13131,209,1.87103998661041,7958.25
"415",758344,1595191,1,97,97,"Rainbows","aa7acb13956ee91fedc1564058ed91cb",3.8,9.2,9.4,5.2,0,"2018-04-11 09:00:59","2018-04-04 02:44:41","Colors*Slash","Colors Power ni Omakasero!","Sotarks",200,"<U+4E09><U+30C4><U+661F><U+30AB><U+30E9><U+30FC><U+30BA>","<U+9AD8><U+91CE><U+9EBB><U+91CC><U+4F73> <U+65E5><U+5CA1><U+306A><U+3064><U+307F> <U+9AD8><U+7530><U+6182><U+5E0C> takada mitsuboshi colors op opening cut edit ver version yuuki kouno marika hioka natsumi akitoshi corinn shunao shogunmoon irohas mugiwarasekai lasse",3,3,74,32553,5814,601,6.03294038772583,8138.25
